"split","dataset","method","accuracy","TPR","TNR","balanced_accuracy","uncertainty"
"Test","Ames_mutagenicity","CATS_RF",0.747252747252747,0.766566265060241,0.726229508196721,0.746397886628481,0.566643519620267
"Test","Ames_mutagenicity","ECFP_RF",0.802197802197802,0.796686746987952,0.808196721311475,0.802441734149714,0.531924016024804
"Test","Ames_mutagenicity","ECFP_MLP",0.775510204081633,0.77710843373494,0.773770491803279,0.775439462769109,0.39278218699218
"Test","Ames_mutagenicity","SMILES_MLP",0.756671899529042,0.778614457831325,0.732786885245902,0.755700671538613,0.514999390047787
"Test","Ames_mutagenicity","SMILES_JMM",0.779434850863422,0.852409638554217,0.7,0.776204819277108,0.325804295161454
"Test","CHEMBL1862_Ki","CATS_RF",0.922619047619048,0.931034482758621,0.903846153846154,0.917440318302387,0.341078653042262
"Test","CHEMBL1862_Ki","ECFP_RF",0.93452380952381,0.922413793103448,0.961538461538462,0.941976127320955,0.254548631595952
"Test","CHEMBL1862_Ki","ECFP_MLP",0.922619047619048,0.922413793103448,0.923076923076923,0.922745358090186,0.133544018788029
"Test","CHEMBL1862_Ki","SMILES_MLP",0.875,0.913793103448276,0.788461538461538,0.851127320954907,0.0557734773135297
"Test","CHEMBL1862_Ki","SMILES_JMM",0.863095238095238,0.931034482758621,0.711538461538462,0.821286472148541,0.0326985741641268
"Test","CHEMBL1871_Ki","CATS_RF",0.808080808080808,0.903225806451613,0.648648648648649,0.775937227550131,0.427450139849495
"Test","CHEMBL1871_Ki","ECFP_RF",0.828282828282828,0.935483870967742,0.648648648648649,0.792066259808195,0.414300052207071
"Test","CHEMBL1871_Ki","ECFP_MLP",0.868686868686869,0.935483870967742,0.756756756756757,0.846120313862249,0.116340281173377
"Test","CHEMBL1871_Ki","SMILES_MLP",0.808080808080808,0.903225806451613,0.648648648648649,0.775937227550131,0.231822898561634
"Test","CHEMBL1871_Ki","SMILES_JMM",0.797979797979798,0.903225806451613,0.621621621621622,0.762423714036617,0.139563713740161
"Test","CHEMBL2034_Ki","CATS_RF",0.831325301204819,0.947368421052632,0.363636363636364,0.655502392344498,0.333779164965783
"Test","CHEMBL2034_Ki","ECFP_RF",0.86144578313253,0.954887218045113,0.484848484848485,0.719867851446799,0.299170197024699
"Test","CHEMBL2034_Ki","ECFP_MLP",0.849397590361446,0.924812030075188,0.545454545454545,0.735133287764867,0.263109085448605
"Test","CHEMBL2034_Ki","SMILES_MLP",0.849397590361446,0.932330827067669,0.515151515151515,0.723741171109592,0.129932515006813
"Test","CHEMBL2034_Ki","SMILES_JMM",0.843373493975904,0.93984962406015,0.454545454545455,0.697197539302802,0.0559320510915846
"Test","CHEMBL2047_EC50","CATS_RF",0.769230769230769,0.51219512195122,0.872549019607843,0.692372070779531,0.509528559688811
"Test","CHEMBL2047_EC50","ECFP_RF",0.846153846153846,0.609756097560976,0.941176470588235,0.775466284074605,0.385208626985315
"Test","CHEMBL2047_EC50","ECFP_MLP",0.832167832167832,0.634146341463415,0.911764705882353,0.772955523672884,0.0981769481089946
"Test","CHEMBL2047_EC50","SMILES_MLP",0.804195804195804,0.682926829268293,0.852941176470588,0.76793400286944,0.158204186393484
"Test","CHEMBL2047_EC50","SMILES_JMM",0.804195804195804,0.609756097560976,0.88235294117647,0.746054519368723,0.0907720689771642
"Test","CHEMBL204_Ki","CATS_RF",0.891107078039927,0.893280632411067,0.889261744966443,0.891271188688755,0.420091261288711
"Test","CHEMBL204_Ki","ECFP_RF",0.891107078039927,0.909090909090909,0.875838926174497,0.892464917632703,0.350513187574773
"Test","CHEMBL204_Ki","ECFP_MLP",0.882032667876588,0.877470355731225,0.885906040268456,0.881688197999841,0.155342521699786
"Test","CHEMBL204_Ki","SMILES_MLP",0.882032667876588,0.889328063241107,0.875838926174497,0.882583494707802,0.23125960234444
"Test","CHEMBL204_Ki","SMILES_JMM",0.88021778584392,0.853754940711462,0.902684563758389,0.878219752234926,0.0826926228596183
"Test","CHEMBL2147_Ki","CATS_RF",0.94413407821229,0.9609375,0.901960784313726,0.931449142156863,0.293447720587989
"Test","CHEMBL2147_Ki","ECFP_RF",0.952513966480447,0.96875,0.911764705882353,0.940257352941176,0.213216379815419
"Test","CHEMBL2147_Ki","ECFP_MLP",0.952513966480447,0.96875,0.911764705882353,0.940257352941176,0.0530770735714427
"Test","CHEMBL2147_Ki","SMILES_MLP",0.921787709497207,0.9609375,0.823529411764706,0.892233455882353,0.15785476331915
"Test","CHEMBL2147_Ki","SMILES_JMM",0.918994413407821,0.9609375,0.813725490196078,0.887331495098039,0.0640293469013948
"Test","CHEMBL214_Ki","CATS_RF",0.823019801980198,0.912175648702595,0.677524429967427,0.794850039335011,0.497992790088243
"Test","CHEMBL214_Ki","ECFP_RF",0.823019801980198,0.868263473053892,0.749185667752443,0.808724570403168,0.485989892668564
"Test","CHEMBL214_Ki","ECFP_MLP",0.839108910891089,0.880239520958084,0.771986970684039,0.826113245821061,0.286119819810195
"Test","CHEMBL214_Ki","SMILES_MLP",0.810643564356436,0.860279441117764,0.729641693811075,0.79496056746442,0.282460813320605
"Test","CHEMBL214_Ki","SMILES_JMM",0.808168316831683,0.870259481037924,0.706840390879479,0.788549935958701,0.12622195552941
"Test","CHEMBL218_EC50","CATS_RF",0.799163179916318,0.743119266055046,0.846153846153846,0.794636556104446,0.550410737899163
"Test","CHEMBL218_EC50","ECFP_RF",0.757322175732218,0.706422018348624,0.8,0.753211009174312,0.4698141207841
"Test","CHEMBL218_EC50","ECFP_MLP",0.736401673640167,0.678899082568807,0.784615384615385,0.731757233592096,0.16728287914812
"Test","CHEMBL218_EC50","SMILES_MLP",0.736401673640167,0.788990825688073,0.692307692307692,0.740649258997883,0.352792089313764
"Test","CHEMBL218_EC50","SMILES_JMM",0.728033472803347,0.688073394495413,0.761538461538461,0.724805928016937,0.188881610210313
"Test","CHEMBL219_Ki","CATS_RF",0.827683615819209,0.935779816513762,0.654411764705882,0.795095790609822,0.570864351362147
"Test","CHEMBL219_Ki","ECFP_RF",0.836158192090395,0.912844036697248,0.713235294117647,0.813039665407447,0.488246600859605
"Test","CHEMBL219_Ki","ECFP_MLP",0.822033898305085,0.844036697247706,0.786764705882353,0.81540070156503,0.304786181786155
"Test","CHEMBL219_Ki","SMILES_MLP",0.768361581920904,0.81651376146789,0.691176470588235,0.753845116028063,0.328592390507894
"Test","CHEMBL219_Ki","SMILES_JMM",0.788135593220339,0.862385321100917,0.669117647058823,0.76575148407987,0.162372845568586
"Test","CHEMBL228_Ki","CATS_RF",0.818407960199005,0.88936170212766,0.718562874251497,0.803962288189578,0.57553767159602
"Test","CHEMBL228_Ki","ECFP_RF",0.858208955223881,0.893617021276596,0.808383233532934,0.851000127404765,0.444002603374129
"Test","CHEMBL228_Ki","ECFP_MLP",0.845771144278607,0.91063829787234,0.754491017964072,0.832564657918206,0.174413007016463
"Test","CHEMBL228_Ki","SMILES_MLP",0.783582089552239,0.876595744680851,0.652694610778443,0.764645177729647,0.384224363710692
"Test","CHEMBL228_Ki","SMILES_JMM",0.81592039800995,0.893617021276596,0.706586826347305,0.80010192381195,0.191887334430642
"Test","CHEMBL231_Ki","CATS_RF",0.853211009174312,0.855769230769231,0.850877192982456,0.853323211875843,0.418905054384862
"Test","CHEMBL231_Ki","ECFP_RF",0.885321100917431,0.875,0.894736842105263,0.884868421052632,0.372937795177982
"Test","CHEMBL231_Ki","ECFP_MLP",0.894495412844037,0.913461538461538,0.87719298245614,0.895327260458839,0.0281347523552082
"Test","CHEMBL231_Ki","SMILES_MLP",0.830275229357798,0.884615384615385,0.780701754385965,0.832658569500675,0.148580644850562
"Test","CHEMBL231_Ki","SMILES_JMM",0.830275229357798,0.875,0.789473684210526,0.832236842105263,0.116177132516121
"Test","CHEMBL233_Ki","CATS_RF",0.842712842712843,0.897435897435897,0.753787878787879,0.825611888111888,0.491657423351082
"Test","CHEMBL233_Ki","ECFP_RF",0.842712842712843,0.867132867132867,0.803030303030303,0.835081585081585,0.391197772481934
"Test","CHEMBL233_Ki","ECFP_MLP",0.828282828282828,0.883449883449883,0.738636363636364,0.811043123543123,0.153834721817596
"Test","CHEMBL233_Ki","SMILES_MLP",0.789321789321789,0.904428904428904,0.602272727272727,0.753350815850816,0.400327175609958
"Test","CHEMBL233_Ki","SMILES_JMM",0.80952380952381,0.862470862470862,0.723484848484849,0.792977855477855,0.239006752747028
"Test","CHEMBL234_Ki","CATS_RF",0.864468864468865,0.932291666666667,0.703703703703704,0.817997685185185,0.372959406828547
"Test","CHEMBL234_Ki","ECFP_RF",0.884004884004884,0.923611111111111,0.790123456790123,0.856867283950617,0.353125614538706
"Test","CHEMBL234_Ki","ECFP_MLP",0.868131868131868,0.918402777777778,0.748971193415638,0.833686985596708,0.0780170468242645
"Test","CHEMBL234_Ki","SMILES_MLP",0.843711843711844,0.881944444444444,0.753086419753086,0.817515432098765,0.264644162433526
"Test","CHEMBL234_Ki","SMILES_JMM",0.864468864468865,0.930555555555556,0.707818930041152,0.819187242798354,0.0971355066640931
"Test","CHEMBL235_EC50","CATS_RF",0.844990548204159,0.764705882352941,0.877659574468085,0.821182728410513,0.431542748406427
