dataset,ranking_method,N,Hit rate,Precision,Enrichment,Tanimoto_topk_to_train,Tanimoto_hits_to_train_actives,Tanimoto_topk_scaffold_to_train,Tanimoto_hits_scaffold_to_train_actives,pharmacophore_topk_to_train,pharmacophore_hits_to_train_actives,MCSF,MCSF_hits_to_train_actives,internal_tanimoto_topk,internal_tanimoto_hits,unique_scaffolds_subset,unique_scaffolds_subset_ratio,unique_scaffolds_hits_ratio,new_scaffolds_ratio,new_hit_scaffolds_ratio
CHEMBL238_Ki,utopia_dist_E_min_tanimoto,50,1.0,0.68,1.2484852935776447,0.1138772,0.12415,0.227898,0.2206,0.28188368880000003,0.30843785,0.3453863976573354,0.37173001764662983,0.3174,0.3745,25,0.5,0.5882352941176471,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_unc_min_scaffold_tanimoto,50,1.0,0.76,1.3939327244048274,0.12020359999999998,0.1309,0.22268199999999996,0.2179,0.2879686454,0.3133873,0.3490254830271653,0.37763931629642206,0.3296,0.3508,21,0.42,0.5,1.0,1.0
CHEMBL238_Ki,utopia_dist_E,50,1.0,0.72,1.3175712769461625,0.1211614,0.132,0.22682000000000002,0.2183,0.2883454244,0.31765157,0.350657342972719,0.38475882727295174,0.312,0.3594,23,0.46,0.5,1.0,1.0
CHEMBL238_Ki,utopia_dist_min_ood_min_tanimoto,50,0.6956521739130435,0.5,0.5858445315074512,0.1212788,0.1349,0.242588,0.2277,0.28748184779999997,0.34476215,0.3363883072444463,0.42812213022167256,0.2052,0.3533,32,0.64,0.625,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_ood,50,1.0,0.48,0.8784451520808169,0.12676720000000002,0.1384,0.242436,0.2324,0.2833815764,0.32413694,0.35087626838874947,0.3953497445572198,0.21,0.2683,25,0.5,0.5833333333333334,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_max_unc,50,1.0,0.5106382978723404,0.8830671866951211,0.12334160000000001,0.1295,0.26070000000000004,0.2593,0.267054465,0.29861814,0.3269186409590264,0.3454208585306397,0.1869,0.2263,31,0.62,0.7083333333333334,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_cats,50,1.0,0.5510204081632653,0.9829619921363041,0.1222386,0.1295,0.25528400000000007,0.2471,0.2473550246,0.2698015,0.316613982695479,0.3315455083106755,0.1991,0.252,29,0.58,0.5925925925925926,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_ood_min_scaffold_tanimoto,50,1.0,0.5,0.9127752017233196,0.1265084,0.1381,0.23536200000000002,0.2255,0.28649273480000004,0.32330105,0.35714655661948475,0.38614880751082126,0.2327,0.2808,21,0.42,0.52,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_mcsf,50,1.0,0.68,1.243417203042715,0.1216918,0.1296,0.244726,0.2296,0.2693387324,0.29083338,0.31067793937801985,0.34004855307923676,0.2156,0.2815,30,0.6,0.5588235294117647,1.0,1.0
CHEMBL238_Ki,utopia_dist_min_ood_min_cats,50,0.5,0.3,0.22035329979066437,0.13352540000000002,0.1447,0.27308400000000005,0.269,0.2309080302,0.23899768,0.2955792616769204,0.29039746088868895,0.2218,0.287,27,0.54,0.6666666666666666,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_unc_min_tanimoto,50,1.0,0.74,1.3563049853372433,0.1187516,0.1294,0.22458999999999998,0.2167,0.2869104226,0.31436875,0.3495292311531024,0.3802514525721707,0.3289,0.3635,23,0.46,0.5135135135135135,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_ood_min_tanimoto,50,1.0,0.52,0.9556012937371362,0.121743,0.1345,0.237378,0.2299,0.2886954308,0.32301638,0.35681709707381215,0.39563350515500956,0.229,0.29,28,0.56,0.6538461538461539,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_unc,50,1.0,0.72,1.3112843301522545,0.1205264,0.132,0.225532,0.2183,0.28817518880000004,0.31765157,0.35161328422772564,0.3847588272729517,0.318,0.3594,22,0.44,0.5,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_max_ood,50,1.0,0.74,1.3549639286629802,0.11641580000000001,0.1267,0.235862,0.2303,0.27543622380000005,0.29829958,0.3317068007133074,0.3585925010515023,0.2925,0.3218,28,0.56,0.5945945945945946,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_unc_min_ood,50,1.0,0.64,1.1729345355912324,0.12417000000000002,0.1333,0.23396599999999995,0.2246,0.28638220299999995,0.3167618,0.3514916075323282,0.38330074074317494,0.2688,0.3164,25,0.5,0.59375,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_unc_min_mcsf,50,1.0,0.72,1.319067858713176,0.1205904,0.1307,0.227282,0.2184,0.2846287838,0.31156734,0.3430087293623012,0.3747138311168445,0.2964,0.3394,24,0.48,0.5277777777777778,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_ood_min_mcsf,50,1.0,0.56,1.0242153778623162,0.12743739999999998,0.1373,0.24749000000000007,0.2384,0.27510004779999997,0.3034189,0.3212406976316688,0.3488230421530689,0.1919,0.2302,26,0.52,0.5714285714285714,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_ood_min_cats,50,1.0,0.5208333333333334,0.9161871953677576,0.12512199999999998,0.13,0.25865600000000005,0.2559,0.24971978539999998,0.26668647,0.3214778812195754,0.3286306983972888,0.1898,0.2189,27,0.54,0.64,1.0,1.0
CHEMBL238_Ki,utopia_dist_min_ood_min_mcsf,50,0.2,0.46153846153846156,0.21963540522732264,0.13174699999999998,0.1438,0.265022,0.2374,0.2714464398,0.29864955,0.24613866920282831,0.31224753075553996,0.3022,0.3384,37,0.74,0.8333333333333334,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_unc_min_cats,50,1.0,0.66,1.2170385395537526,0.12052159999999999,0.129,0.235686,0.2242,0.2692397588,0.29676762,0.3299766002974426,0.3529454017008422,0.261,0.3206,28,0.56,0.6363636363636364,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_scaffold_tanimoto,50,1.0,0.76,1.4038717304566277,0.1203484,0.1317,0.21973799999999996,0.2155,0.2906395214,0.31607783,0.35249550305895966,0.3783695494366275,0.3376,0.3557,19,0.38,0.47368421052631576,1.0,1.0
CHEMBL238_Ki,utopia_dist_min_ood_min_scaffold_tanimoto,50,0.6785714285714286,0.6333333333333333,0.6954357453973133,0.1309572,0.1418,0.23951000000000003,0.228,0.2912767342,0.3443248,0.34004865781451754,0.4132361131804707,0.2225,0.3123,26,0.52,0.47368421052631576,1.0,1.0
CHEMBL238_Ki,utopia_dist_E_min_unc_max_ood,50,1.0,0.76,1.392451447416636,0.11940159999999997,0.1299,0.224614,0.2191,0.2869727108,0.31288776,0.34913509405003124,0.37797596210675205,0.3323,0.3547,23,0.46,0.5263157894736842,1.0,1.0
ESR1_ant,utopia_dist_E_min_tanimoto,50,0.16666666666666666,0.25,0.5213764337851929,0.06633,0.125,0.1926046,0.3445,0.19877774540000004,0.25893006,0.15882451032355704,0.30238095238095236,0.0772,,47,0.94,1.0,1.0,1.0
ESR1_ant,utopia_dist_E_min_unc_min_scaffold_tanimoto,50,0.14285714285714285,0.25,0.5230125523012552,0.091797,0.125,0.18745060000000002,0.3445,0.198276063,0.25893006,0.19666276310389402,0.30238095238095236,0.11786,,48,0.96,1.0,1.0,1.0
ESR1_ant,utopia_dist_E,50,0.16666666666666666,0.25,0.5260389268805892,0.09480139999999998,0.125,0.20011800000000002,0.3445,0.1988394474,0.25893006,0.209378187230609,0.30238095238095236,0.1276,,47,0.94,1.0,1.0,1.0
