Well,Luminescence (398 nm),Luminescence (413 nm),Luminescence (428 nm),Luminescence (443 nm),Luminescence (458 nm),Luminescence (473 nm),Luminescence (488 nm),Luminescence (503 nm),Luminescence (518 nm),Luminescence (533 nm),Luminescence (548 nm),Luminescence (563 nm),Luminescence (578 nm),Luminescence (593 nm),Luminescence (608 nm),Luminescence (623 nm),Luminescence (638 nm),Luminescence (653 nm),Type,Compound,Concentration (µM),Protein,Keep,Replicate,Date
A1,4,9,6,4,0,6,20,107,563,1711,3112,4014,3683,3012,2625,1543,1215,755,Blank,-,-,PIM1,OK,1,4/7/25
A2,9,12,8,1,8,8,32,161,760,2276,4430,5300,5247,3953,3574,2020,1595,950,Positive control,AZD1208,10,PIM1,OK,1,4/7/25
A3,12,6,10,3,4,17,28,198,837,2695,4876,5897,5922,4612,3896,2344,1959,1059,Positive control,AZD1208,10,PIM1,OK,2,4/7/25
A4,29,31,20,10,12,34,126,776,3440,10823,20329,24135,24151,19224,16284,9994,7555,4541,Screen,A28,10,PIM1,OK,1,4/7/25
A5,41,37,29,11,12,21,144,851,3783,11609,21817,25920,25832,20214,17358,10672,8439,4924,Screen,A28,10,PIM1,OK,2,4/7/25
A6,45,32,22,9,19,25,139,761,3679,11182,20732,25161,25121,19749,16674,10192,8114,4833,Screen,A28,10,PIM1,OK,3,4/7/25
A7,96,96,59,29,39,71,236,1688,8517,26868,50505,60658,60635,47421,40891,24336,18995,11260,Screen,A5,10,PIM1,OK,1,4/7/25
A8,79,83,47,41,32,59,168,1414,6835,22495,42681,51940,51498,40879,34727,20847,16562,9566,Screen,A5,10,PIM1,OK,2,4/7/25
A9,107,89,51,28,33,70,195,1582,7818,25139,48223,58123,58521,45548,39620,23713,18560,11315,Screen,A5,10,PIM1,OK,3,4/7/25
A10,77,49,42,21,30,59,216,1333,6311,18986,35295,42887,42243,33385,28763,17692,13426,7829,Screen,A20,10,PIM1,OK,1,4/7/25
A11,60,57,32,23,22,61,205,1363,5832,18339,33668,40826,41305,32002,27339,16222,12910,7694,Screen,A20,10,PIM1,OK,2,4/7/25
A12,36,36,30,12,17,34,142,887,3923,11434,21409,26167,25751,20264,17657,10450,8378,4835,Screen,A20,10,PIM1,OK,3,4/7/25
B1,10,12,6,10,5,8,32,191,877,2627,5048,6020,6047,4724,4279,2436,1992,1049,Blank,-,-,PIM1,OK,2,4/7/25
B2,7,5,4,5,2,6,21,124,551,1578,3134,3804,3922,2941,2491,1555,1225,768,Positive control,AZD1208,3.3333,PIM1,OK,1,4/7/25
B3,4,6,5,5,6,8,16,107,498,1524,2763,3336,3274,2595,2266,1395,1095,633,Positive control,AZD1208,3.3333,PIM1,OK,2,4/7/25
B4,47,59,38,24,25,49,198,1193,5327,16303,31022,36916,37108,29283,25072,15296,11870,7280,Screen,A28,3.3333,PIM1,OK,1,4/7/25
B5,62,55,35,24,25,65,210,1415,6102,18746,34789,42116,41694,32998,28318,17280,13571,7967,Screen,A28,3.3333,PIM1,OK,2,4/7/25
B6,55,54,24,12,15,50,175,1074,4989,14688,27742,33632,33903,26461,23253,13944,10931,6505,Screen,A28,3.3333,PIM1,OK,3,4/7/25
B7,108,105,69,34,38,79,300,2120,10438,33277,62339,74794,74746,59003,51018,30827,24041,14028,Screen,A5,3.3333,PIM1,OK,1,4/7/25
B8,75,73,48,23,25,72,209,1586,7359,23221,43740,52679,52530,40947,35298,21280,16954,9954,Screen,A5,3.3333,PIM1,OK,2,4/7/25
B9,75,74,43,25,29,52,190,1395,6550,20404,37985,46869,46763,36394,31540,19160,14805,8864,Screen,A5,3.3333,PIM1,OK,3,4/7/25
B10,53,56,33,20,20,55,215,1177,5332,16322,30366,36641,37054,28810,24468,15073,11881,7007,Screen,A20,3.3333,PIM1,OK,1,4/7/25
B11,57,63,33,20,23,41,191,1207,5230,16255,29814,35856,35833,27949,24156,14863,11232,6440,Screen,A20,3.3333,PIM1,OK,2,4/7/25
B12,50,51,33,19,23,41,185,1138,4987,15391,28274,34100,34133,26968,22965,13994,10824,6671,Screen,A20,3.3333,PIM1,OK,3,4/7/25
C1,9,5,6,4,6,5,20,117,460,1405,2617,3231,3166,2477,2158,1253,951,615,Blank,-,-,PIM1,OK,3,4/7/25
C2,5,10,10,6,2,8,23,158,640,2042,3783,4549,4454,3505,3009,1777,1456,833,Positive control,AZD1208,1.1111,PIM1,OK,1,4/7/25
C3,9,5,5,4,6,8,30,135,627,1867,3457,4107,4272,3215,2774,1675,1249,716,Positive control,AZD1208,1.1111,PIM1,OK,2,4/7/25
C4,103,124,72,37,47,92,429,2613,11509,35850,66290,79271,79375,62172,53673,32497,25401,14955,Screen,A28,1.1111,PIM1,OK,1,4/7/25
C5,101,89,62,24,37,80,356,2127,9620,29764,55496,66573,67221,52370,44834,27061,21653,12491,Screen,A28,1.1111,PIM1,OK,2,4/7/25
C6,105,92,59,24,42,90,354,2052,8951,27777,51330,63293,62724,49648,42090,25879,20263,11926,Screen,A28,1.1111,PIM1,OK,3,4/7/25
C7,128,133,78,34,34,111,368,2429,11224,35282,65394,79084,79220,62602,53393,32042,24841,14772,Screen,A5,1.1111,PIM1,OK,1,4/7/25
C8,93,90,56,44,34,85,297,2139,9671,29621,55370,67291,67470,53339,45717,27294,21339,12241,Screen,A5,1.1111,PIM1,OK,2,4/7/25
C9,117,115,80,42,48,87,396,2564,11552,36021,66750,81477,81350,63407,54735,33100,26096,15566,Screen,A5,1.1111,PIM1,OK,3,4/7/25
C10,102,78,48,26,29,73,275,1723,7740,23675,44090,53543,53498,41632,35857,21725,16995,9819,Screen,A20,1.1111,PIM1,OK,1,4/7/25
C11,73,73,48,22,24,61,245,1634,7194,22158,41213,50551,49952,39064,33522,20601,16082,9551,Screen,A20,1.1111,PIM1,OK,2,4/7/25
C12,79,60,42,19,26,61,286,1612,6908,21568,40410,48881,48974,37805,32919,20019,15600,9382,Screen,A20,1.1111,PIM1,OK,3,4/7/25
D1,160,146,86,47,48,137,568,3408,15544,47221,88240,106844,106254,82677,71695,43017,33437,19209,Negative control,-,-,PIM1,OK,1,4/7/25
D2,6,4,3,4,4,5,26,91,370,1142,2129,2519,2574,2036,1757,1100,906,480,Positive control,AZD1208,0.3704,PIM1,OK,1,4/7/25
D3,6,6,5,5,3,8,20,141,564,1734,3450,4151,4019,3120,2701,1700,1304,708,Positive control,AZD1208,0.3704,PIM1,OK,2,4/7/25
D4,143,139,94,48,56,124,506,3030,13277,41070,76101,92570,91941,71865,62297,37696,28884,17101,Screen,A28,0.3704,PIM1,OK,1,4/7/25
D5,122,131,85,50,54,104,435,2939,12818,38962,72744,88181,87767,69158,59152,36157,28118,15982,Screen,A28,0.3704,PIM1,OK,2,4/7/25
