Well,Luminescence (398 nm),Luminescence (413 nm),Luminescence (428 nm),Luminescence (443 nm),Luminescence (458 nm),Luminescence (473 nm),Luminescence (488 nm),Luminescence (503 nm),Luminescence (518 nm),Luminescence (533 nm),Luminescence (548 nm),Luminescence (563 nm),Luminescence (578 nm),Luminescence (593 nm),Luminescence (608 nm),Luminescence (623 nm),Luminescence (638 nm),Luminescence (653 nm),Type,Compound,Concentration (µM),Protein,Keep,Replicate,Date
A1,3,4,0,2,1,7,6,31,133,376,639,793,771,676,510,365,269,176,Blank,-,-,CDK1,OK,1,22-07-25
A2,3,1,2,0,1,5,8,49,189,550,1039,1177,1241,1025,782,574,353,278,Positive control,Dinaciclib,10,CDK1,OK,1,22-07-25
A3,3,3,4,3,0,3,2,46,182,518,1018,1182,1149,966,735,513,375,268,Positive control,Dinaciclib,10,CDK1,OK,2,22-07-25
A4,110,72,30,70,22,47,239,2327,10963,31289,57360,68304,69798,58120,45207,31178,22809,14793,Screen,B19,10,CDK1,OK,1,22-07-25
A5,102,71,34,62,19,44,185,2104,9913,28666,52732,62353,64047,53592,41128,28290,20954,13522,Screen,B19,10,CDK1,OK,2,22-07-25
A6,109,65,29,52,25,46,261,2147,10137,29276,53905,64022,65235,54013,41952,28699,21217,13244,Screen,B19,10,CDK1,OK,3,22-07-25
A7,120,89,40,80,30,36,280,2494,11610,32958,60534,71860,73467,61240,47278,32713,23763,15269,Screen,B8,10,CDK1,OK,1,22-07-25
A8,123,81,43,79,27,51,231,2417,11375,31954,59298,70712,71559,59587,46253,31605,23116,14861,Screen,B8,10,CDK1,OK,2,22-07-25
A9,103,78,28,64,20,60,222,2280,10440,29564,54516,65067,66515,54765,42892,29226,21734,14054,Screen,B8,10,CDK1,OK,3,22-07-25
A10,70,50,23,50,14,36,159,1540,6916,19906,36570,43788,44141,37316,28622,20126,14810,9033,Screen,B3,10,CDK1,OK,1,22-07-25
A11,78,50,25,51,14,33,142,1529,6910,19763,36592,44062,44707,36767,28757,19423,14428,9191,Screen,B3,10,CDK1,OK,2,22-07-25
A12,76,42,29,40,14,25,143,1536,6883,19641,36000,43189,43713,36588,28247,19322,14296,9089,Screen,B3,10,CDK1,OK,3,22-07-25
B1,3,3,0,2,3,1,5,45,199,533,1015,1158,1153,999,802,594,434,302,Blank,-,-,CDK1,OK,2,22-07-25
B2,5,4,1,5,0,7,5,46,208,621,1229,1387,1511,1238,968,628,492,234,Positive control,Dinaciclib,3.3333,CDK1,OK,1,22-07-25
B3,4,0,2,3,0,3,10,73,268,714,1310,1588,1599,1388,1060,704,575,364,Positive control,Dinaciclib,3.3333,CDK1,OK,2,22-07-25
B4,142,96,47,77,27,44,292,2856,12743,36648,67174,80178,81833,68546,52843,36088,26700,17087,Screen,B19,3.3333,CDK1,OK,1,22-07-25
B5,141,77,41,88,40,74,282,2866,13338,37700,69697,81856,84451,70375,54883,37324,27874,16973,Screen,B19,3.3333,CDK1,OK,2,22-07-25
B6,149,97,43,73,25,53,300,2813,13015,36758,67979,81110,82529,68981,53818,36660,27693,16571,Screen,B19,3.3333,CDK1,OK,3,22-07-25
B7,145,97,46,79,27,54,305,2914,13381,37607,69500,82722,84563,70352,54382,37066,27906,17489,Screen,B8,3.3333,CDK1,OK,1,22-07-25
B8,142,105,47,77,28,59,305,2863,13245,37198,68492,82133,83358,69389,53690,37620,27934,17601,Screen,B8,3.3333,CDK1,OK,2,22-07-25
B9,128,98,41,83,31,57,297,2872,13220,37138,68760,82396,83906,69733,54213,36895,27641,17465,Screen,B8,3.3333,CDK1,OK,3,22-07-25
B10,98,62,26,54,16,34,191,1948,8920,25067,46256,55108,56444,47023,35929,25113,18288,11333,Screen,B3,3.3333,CDK1,OK,1,22-07-25
B11,89,54,26,37,14,35,166,1654,7492,21384,39322,47042,47999,39929,30836,21394,15894,10190,Screen,B3,3.3333,CDK1,OK,2,22-07-25
B12,96,54,26,50,15,40,186,1914,8863,24965,46597,55490,56361,46687,36463,25020,18664,11423,Screen,B3,3.3333,CDK1,OK,3,22-07-25
C1,6,2,1,7,1,2,7,39,172,561,966,1167,1207,1034,735,551,414,284,Blank,-,-,CDK1,OK,3,22-07-25
C2,7,0,4,6,0,3,7,62,323,845,1536,1848,1941,1612,1195,830,659,494,Positive control,Dinaciclib,1.1111,CDK1,OK,1,22-07-25
C3,5,1,5,6,2,8,10,62,336,899,1734,2047,2130,1904,1388,968,735,494,Positive control,Dinaciclib,1.1111,CDK1,OK,2,22-07-25
C4,167,111,56,103,35,64,337,3417,15526,44301,82067,97269,99360,82892,63613,44275,33022,21012,Screen,B19,1.1111,CDK1,OK,1,22-07-25
C5,142,112,39,92,28,52,295,2983,14226,40440,75079,88683,90969,76048,58900,40187,30376,19129,Screen,B19,1.1111,CDK1,OK,2,22-07-25
C6,154,101,52,100,24,67,315,3109,14193,40077,74192,88450,90735,76189,58898,40879,30004,18847,Screen,B19,1.1111,CDK1,OK,3,22-07-25
C7,165,116,57,89,30,71,319,3369,15125,43489,80457,95445,99126,81569,63568,43278,31826,20458,Screen,B8,1.1111,CDK1,OK,1,22-07-25
C8,161,104,40,97,27,54,338,3218,14730,41727,77198,92138,94762,78108,60877,41958,30945,19911,Screen,B8,1.1111,CDK1,OK,2,22-07-25
C9,136,97,49,77,27,68,300,3041,13888,39772,73707,87706,89614,75124,57612,39857,30093,19011,Screen,B8,1.1111,CDK1,OK,3,22-07-25
C10,127,95,36,94,26,51,309,2925,13325,38316,70678,84564,86595,71774,55949,38071,28676,18151,Screen,B3,1.1111,CDK1,OK,1,22-07-25
C11,137,83,47,84,28,63,290,2893,12947,36873,67900,81733,83199,70038,53956,37617,27395,17409,Screen,B3,1.1111,CDK1,OK,2,22-07-25
C12,150,88,36,88,34,59,308,2845,13310,37640,69579,83183,85409,70832,55394,37878,28210,17641,Screen,B3,1.1111,CDK1,OK,3,22-07-25
D1,145,107,54,79,43,68,328,3435,15284,43924,81065,97014,99575,82179,63941,43177,32493,20471,Negative control,-,-,CDK1,OK,1,22-07-25
D2,10,8,3,4,4,5,7,105,581,1533,2660,3203,3398,2772,2034,1568,1057,744,Positive control,Dinaciclib,0.3704,CDK1,OK,1,22-07-25
D3,6,2,3,2,2,3,16,117,527,1456,2721,3318,3281,2697,2141,1537,1096,701,Positive control,Dinaciclib,0.3704,CDK1,OK,2,22-07-25
D4,160,114,46,100,30,65,324,3165,14472,41074,76354,91430,93183,77467,60006,40942,30028,19379,Screen,B19,0.3704,CDK1,OK,1,22-07-25
D5,143,105,46,82,33,59,341,3234,14788,41765,77563,92678,94439,79181,61269,41684,30689,19800,Screen,B19,0.3704,CDK1,OK,2,22-07-25
D6,143,102,46,89,28,62,315,3122,14383,40445,74104,87857,90027,75251,58626,40509,29715,19135,Screen,B19,0.3704,CDK1,OK,3,22-07-25
D7,139,105,55,79,26,66,304,3073,14265,40521,75780,90129,92159,77517,59902,41159,30911,19370,Screen,B8,0.3704,CDK1,OK,1,22-07-25
D8,164,114,49,89,35,74,357,3451,15485,44203,81049,97091,99218,83115,63752,43663,32904,21194,Screen,B8,0.3704,CDK1,OK,2,22-07-25
D9,140,97,38,76,29,61,282,2818,12840,36335,66812,79637,81187,68055,53238,36313,27230,17462,Screen,B8,0.3704,CDK1,OK,3,22-07-25
D10,122,98,40,84,25,53,292,2787,13105,36770,68176,81039,83226,69780,54319,36965,27524,17397,Screen,B3,0.3704,CDK1,OK,1,22-07-25
D11,149,105,49,98,23,70,310,3244,14623,41624,76861,91536,93442,77913,60014,41780,30828,20038,Screen,B3,0.3704,CDK1,OK,2,22-07-25
D12,160,104,54,93,31,68,342,3312,15145,42975,78952,93939,96346,80061,61812,42408,31748,20041,Screen,B3,0.3704,CDK1,OK,3,22-07-25
E1,153,116,49,95,37,66,338,3431,15530,43742,80642,96422,98844,82281,63426,43257,32506,20662,Negative control,-,-,CDK1,OK,2,22-07-25
E2,11,11,7,9,6,6,26,239,1079,3062,5590,6583,6965,5745,4406,3033,2246,1412,Positive control,Dinaciclib,0.1235,CDK1,OK,1,22-07-25
E3,14,10,2,14,5,8,22,243,1072,3090,5768,7004,7058,5900,4652,3210,2350,1563,Positive control,Dinaciclib,0.1235,CDK1,OK,2,22-07-25
E4,167,111,61,102,31,78,366,3535,16031,45741,84585,100660,103834,86356,66865,46009,33778,21612,Screen,B19,0.1235,CDK1,OK,1,22-07-25
E5,171,117,46,88,34,72,358,3325,15548,44260,81828,98491,100387,83559,65094,44290,32998,21436,Screen,B19,0.1235,CDK1,OK,2,22-07-25
E6,171,101,50,113,38,75,360,3447,15839,45145,82605,99599,101933,84812,66019,44068,33361,20786,Screen,B19,0.1235,CDK1,OK,3,22-07-25
E7,149,104,46,97,30,73,370,3286,15153,43443,80683,96308,98369,82486,63466,43864,32374,20127,Screen,B8,0.1235,CDK1,OK,1,22-07-25
E8,169,114,51,96,38,69,327,3564,15763,45354,83490,100295,102716,85004,65960,45534,33511,21420,Screen,B8,0.1235,CDK1,OK,2,22-07-25
E9,187,114,66,108,33,68,345,3461,15836,45193,82404,98447,101307,84799,65311,44425,33748,20944,Screen,B8,0.1235,CDK1,OK,3,22-07-25
E10,171,119,52,89,39,57,345,3334,15452,43942,80994,96903,98813,83142,64133,44115,32141,20465,Screen,B3,0.1235,CDK1,OK,1,22-07-25
E11,152,108,50,97,40,71,348,3321,15103,43572,80827,96026,98926,82384,63259,44232,32815,20022,Screen,B3,0.1235,CDK1,OK,2,22-07-25
E12,153,110,46,88,28,57,313,3109,13873,40203,74433,88993,91272,76127,58949,40539,29937,19045,Screen,B3,0.1235,CDK1,OK,3,22-07-25
F1,167,105,44,98,40,66,361,3363,14976,43167,79722,94787,96477,80094,62914,43434,32100,19354,Negative control,-,-,CDK1,OK,3,22-07-25
F2,32,21,10,20,8,13,61,607,2741,7686,14481,17370,17699,14749,11404,7859,5984,4153,Positive control,Dinaciclib,0.0412,CDK1,OK,1,22-07-25
F3,32,21,7,17,6,16,64,582,2652,7565,13971,16432,17000,14154,10791,7557,5725,3640,Positive control,Dinaciclib,0.0412,CDK1,Discard,2,22-07-25
F4,164,120,52,95,33,67,334,3463,15647,44707,82003,98574,101024,84181,64702,43985,32437,20666,Screen,B19,0.0412,CDK1,OK,1,22-07-25
F5,169,120,52,103,31,71,326,3378,14810,42972,79420,94963,96655,81012,62966,42298,32298,20137,Screen,B19,0.0412,CDK1,OK,2,22-07-25
F6,150,107,43,99,29,67,348,3235,15060,43009,79051,93859,96411,80323,62462,42746,31700,19676,Screen,B19,0.0412,CDK1,OK,3,22-07-25
F7,165,104,47,99,28,72,365,3402,15928,44839,83240,98928,101519,84235,65515,45081,33663,20848,Screen,B8,0.0412,CDK1,OK,1,22-07-25
F8,172,107,44,86,36,61,342,3273,15347,44094,81775,96609,99245,83156,63909,43665,32693,20675,Screen,B8,0.0412,CDK1,OK,2,22-07-25
F9,165,113,43,80,28,68,330,3369,15098,43296,79830,95631,96625,81651,62839,43705,31972,20298,Screen,B8,0.0412,CDK1,OK,3,22-07-25
F10,171,107,48,99,39,80,332,3309,15190,43449,80126,96005,97446,81950,63523,43600,32448,20777,Screen,B3,0.0412,CDK1,OK,1,22-07-25
F11,167,106,42,95,32,72,359,3276,15323,43532,80358,95408,98187,82087,63433,43242,32522,20273,Screen,B3,0.0412,CDK1,OK,2,22-07-25
F12,151,112,51,75,35,81,321,3171,14578,41625,76824,91149,93120,78369,60064,41251,31097,19679,Screen,B3,0.0412,CDK1,OK,3,22-07-25
G1,135,115,40,72,33,55,298,2936,13269,37735,70125,83695,85831,71417,55276,37682,27545,17316,Positive control,Dinaciclib,0.0015,CDK1,OK,1,22-07-25
G2,43,32,21,26,13,18,111,1005,4568,12938,23895,28474,29169,24500,18971,12959,9542,6224,Positive control,Dinaciclib,0.0137,CDK1,OK,1,22-07-25
G3,62,45,20,49,13,27,157,1321,6046,17188,31675,37984,38791,32264,25120,17507,12969,8029,Positive control,Dinaciclib,0.0137,CDK1,OK,2,22-07-25
G4,146,108,42,87,37,64,333,3415,15081,42934,80090,94866,97682,81123,63108,42227,31869,20666,Screen,B19,0.0137,CDK1,OK,1,22-07-25
