Well,Luminescence (398 nm),Luminescence (413 nm),Luminescence (428 nm),Luminescence (443 nm),Luminescence (458 nm),Luminescence (473 nm),Luminescence (488 nm),Luminescence (503 nm),Luminescence (518 nm),Luminescence (533 nm),Luminescence (548 nm),Luminescence (563 nm),Luminescence (578 nm),Luminescence (593 nm),Luminescence (608 nm),Luminescence (623 nm),Luminescence (638 nm),Luminescence (653 nm),Type,Compound,Protein
A1,3,3,2,8,6,5,10,83,295,889,1588,1981,1961,1527,1293,797,608,393,Blank,-,CDK1
A2,8,7,3,5,8,10,24,80,314,1003,1845,2354,2318,1891,1599,909,691,427,Blank,-,CDK1
A3,192,189,103,53,72,176,655,4363,19601,60382,110681,133451,133126,104618,89738,54206,41652,25508,Negative control,-,CDK1
A4,184,194,119,64,67,160,737,4540,20091,62035,114402,137221,136380,105913,92685,55261,43147,25355,Negative control,-,CDK1
A5,6,8,3,6,6,9,15,95,453,1302,2503,2983,2910,2219,2020,1128,1004,573,Positive control,Dinaciclib,CDK1
A6,8,8,7,7,6,11,29,135,600,1721,3201,4044,3840,3157,2425,1596,1202,674,Positive control,Dinaciclib,CDK1
A7,306,335,190,93,141,286,1198,7549,33453,103504,192122,231607,231685,180251,155624,93559,73339,42593,Screen,B1,CDK1
A8,157,176,99,51,70,138,578,3772,17240,52126,96116,116366,115985,91979,78501,48110,37539,21822,Screen,B1,CDK1
A9,190,202,112,58,74,146,677,4115,18374,55806,104059,126031,124841,98460,84250,51072,39240,23277,Screen,B1,CDK1
A10,187,183,119,55,69,142,618,3992,18269,55455,102481,123893,122443,96289,82983,50214,39234,22749,Screen,B2,CDK1
A11,148,166,92,42,48,143,512,3354,15140,46338,85271,103530,102910,80793,69723,41843,32639,19597,Screen,B2,CDK1
A12,175,162,105,57,71,140,656,4177,18713,57532,106291,128252,128029,100261,85911,51347,40563,23988,Screen,B2,CDK1
B1,137,145,84,43,55,129,452,2860,12743,39192,72795,87496,87640,68866,59085,36400,27974,16549,Screen,B3,CDK1
B2,148,142,80,53,54,119,512,3207,14429,44048,81894,98757,98072,77155,66609,39912,31135,18340,Screen,B3,CDK1
B3,149,155,100,50,56,138,562,3465,15877,48507,89448,108552,107409,84254,73319,44216,34778,20167,Screen,B3,CDK1
B4,164,143,93,48,40,127,535,3421,15140,46962,86268,104256,103671,81858,69734,41932,32990,19370,Screen,B4,CDK1
B5,147,169,102,60,70,123,579,3492,15970,48684,91070,109449,107949,85011,72680,44114,34675,20021,Screen,B4,CDK1
B6,122,155,106,51,53,132,498,3312,14687,44830,82570,100161,99723,78997,67526,40729,31820,19506,Screen,B4,CDK1
B7,166,182,114,50,62,143,612,3707,17017,51197,95307,115889,115731,90748,77389,46817,36821,21291,Screen,B5,CDK1
B8,223,219,135,67,75,201,804,5124,22803,69600,130133,156231,155768,122010,103787,63483,49494,29122,Screen,B5,CDK1
