Well,Luminescence (398 nm),Luminescence (413 nm),Luminescence (428 nm),Luminescence (443 nm),Luminescence (458 nm),Luminescence (473 nm),Luminescence (488 nm),Luminescence (503 nm),Luminescence (518 nm),Luminescence (533 nm),Luminescence (548 nm),Luminescence (563 nm),Luminescence (578 nm),Luminescence (593 nm),Luminescence (608 nm),Luminescence (623 nm),Luminescence (638 nm),Luminescence (653 nm),Type,Compound,Protein
A1,4.5,5,2.5,6,8,3.5,16.5,92,362.5,1066,1950,2418.5,2383.5,1845.5,1574.5,959.5,769,455.5,Blank,-,PIM1
A2,5,6,3,3,7.5,7.5,17,73.5,295.5,919,1687,2091,2065.5,1647,1456,831.5,639.5,377.5,Blank,-,PIM1
A3,122,151,72,41,46,92,464,2901,12642,38769,71791,86124,85146,65960,56115,33934,26062,14977,Negative control,-,PIM1
A4,147,157,103,45,70,145,538,3545,15896,48481,89361,107690,106802,82744,71404,42403,33192,19284,Negative control,-,PIM1
A5,6,8,4,4,6,6,20,141,552,1685,3023,3868,3685,2931,2416,1572,1206,793,Positive control,AZD1208,PIM1
A6,7,9,8,6,8,12,29,166,666,2143,3857,4713,4729,3718,3054,1863,1665,845,Positive control,AZD1208,PIM1
A7,112,118,83,48,40,65,66,402,2387,13276,42097,71106,84697,73752,63778,38953,30197,17969,Screen,A1,PIM1
A8,108,109,64,35,44,58,74,396,2279,12081,37188,60901,70433,60784,52368,31391,25478,14469,Screen,A1,PIM1
A9,109,121,90,42,46,54,61,392,2146,12461,40570,68905,82123,72655,63867,38466,29726,17613,Screen,A1,PIM1
A10,52,60,35,25,21,43,91,847,4981,17574,33862,41286,41212,32634,27772,16907,13239,7619,Screen,A2,PIM1
A11,59,64,45,21,20,49,85,845,5213,17789,34907,42170,41807,32744,28027,16713,13360,7937,Screen,A2,PIM1
A12,71,74,42,22,22,50,88,936,5632,19824,38402,46990,46674,36963,31015,18651,14542,8949,Screen,A2,PIM1
B1,65,64,43,28,24,57,272,1656,7591,22922,42905,51590,51797,41876,36529,23002,18238,10892,Screen,A3,PIM1
B2,97,99,50,30,46,83,319,2007,8813,26743,49867,60696,60872,48731,43079,27255,21637,13379,Screen,A3,PIM1
B3,113,108,72,37,43,102,421,2524,11193,34189,63869,77371,78566,62986,54970,34323,27713,16777,Screen,A3,PIM1
B4,101,103,50,34,52,83,281,1968,9805,30211,57898,70038,69662,54564,46760,28154,21483,13095,Screen,A4,PIM1
B5,113,115,67,32,35,92,338,2236,10866,34133,64168,77280,77467,59751,51725,30680,23964,14368,Screen,A4,PIM1
B6,117,110,80,38,41,100,353,2402,11181,35989,67216,81388,81123,63344,53776,32492,25434,14800,Screen,A4,PIM1
B7,52,47,34,21,17,48,138,969,4795,15649,29224,35522,35590,27760,24114,14314,11104,6407,Screen,A5,PIM1
B8,73,73,42,19,31,52,157,1170,6350,20541,38683,46838,46808,36909,31523,18858,14624,8811,Screen,A5,PIM1
B9,58,70,42,18,22,48,143,1083,5885,19130,35706,43271,42954,33718,28951,17068,13713,7859,Screen,A5,PIM1
B10,136,138,65,44,41,135,510,3347,14697,44700,82142,99457,98492,77608,66065,38879,30872,18193,Screen,A6,PIM1
B11,129,123,78,50,48,106,453,3019,13110,40620,75238,90093,89566,69620,59781,35750,28089,16476,Screen,A6,PIM1
B12,163,158,104,49,57,117,563,3377,15285,46890,87594,105785,104565,81373,69712,41537,33156,19130,Screen,A6,PIM1
C1,90,79,60,25,39,70,339,2063,9313,28708,52555,63215,63044,49259,41686,24856,19376,11714,Screen,A7,PIM1
C2,107,134,64,37,48,91,411,2371,11070,33955,62370,74178,74063,57327,49004,29866,23325,13717,Screen,A7,PIM1
C3,129,113,77,37,48,119,444,2726,12268,37355,69423,83043,82118,63938,54289,32871,25482,15240,Screen,A7,PIM1
C4,113,128,71,41,41,111,441,2603,11949,36121,66848,81375,80926,62720,53478,32488,24986,15063,Screen,A8,PIM1
C5,116,122,86,34,60,97,449,2714,12278,37317,69920,84044,83338,64733,55364,33466,25868,15344,Screen,A8,PIM1
C6,113,132,82,32,51,110,445,2853,12417,37971,70783,85497,84702,66227,56460,33892,26229,15747,Screen,A8,PIM1
C7,146,157,93,47,56,131,522,3289,15012,45563,84551,101745,100357,78671,68039,40237,31814,18485,Screen,A9,PIM1
C8,143,132,97,41,54,141,551,3338,14708,44573,82925,99405,98348,77013,66002,39310,31135,18003,Screen,A9,PIM1
C9,142,151,84,43,46,120,540,3117,14082,43161,79343,96006,95229,73466,63007,38169,29482,17909,Screen,A9,PIM1
C10,78,92,43,32,28,74,313,1873,8340,25601,47274,57532,56725,44752,38411,23331,18088,10822,Screen,A10,PIM1
C11,87,81,44,22,35,71,318,2096,9154,27604,51326,61324,61728,47920,40976,24483,19332,11378,Screen,A10,PIM1
C12,81,82,54,28,32,74,299,1943,8212,25443,47081,56679,56243,44240,38361,23031,17944,10411,Screen,A10,PIM1
D1,86,74,47,23,39,73,308,1822,7936,24153,44432,53618,53140,41727,35917,21437,16886,9981,Screen,A11,PIM1
D2,101,118,58,32,31,86,374,2376,10351,31289,58326,70570,69777,54472,46971,27952,21803,12635,Screen,A11,PIM1
D3,92,90,65,38,34,85,340,2095,9364,28348,52498,62671,62300,48225,42054,25197,19513,11477,Screen,A11,PIM1
D4,143,144,86,40,54,107,453,3164,14048,42968,79597,96713,96074,74388,64001,38182,29533,17228,Screen,A12,PIM1
D5,127,124,84,39,48,113,447,2829,12486,38536,72024,86500,85235,66472,56920,34290,26521,15658,Screen,A12,PIM1
D6,131,148,76,39,49,112,504,3049,13630,41292,77117,92486,92163,72497,61939,36381,28980,17415,Screen,A12,PIM1
